Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION,Dates_SP500,SP500 Values
30-11-1984,0.04,0.11,0.18,0.06,0.39,0.15,0.28,"Jan 01, 1985",179.63
31-12-1984,0.01,0.05,0.01,-0.02,0.05,0.19,0.33,"Feb 01, 1985",181.18
31-01-1985,-0.16,0,0.1,-0.05,-0.11,0.11,0.15,"Mar 01, 1985",180.66
28-02-1985,-0.05,0,0.05,-0.04,-0.04,-0.03,-0.01,"Apr 01, 1985",179.83
31-03-1985,0.08,0.13,0.05,0.09,0.35,0.07,0.07,"Apr 30, 1985",189.55
30-04-1985,-0.2,-0.05,0.08,-0.12,-0.29,0.01,0.05,"May 31, 1985",191.85
31-05-1985,0,0.07,0.14,0.16,0.37,0.14,0.13,"Jun 30, 1985",190.92
30-06-1985,-0.07,-0.07,-0.03,-0.35,-0.53,-0.15,-0.13,"Jul 31, 1985",188.63
31-07-1985,-0.27,0,0.08,-0.04,-0.23,-0.13,-0.14,"Aug 31, 1985",182.08
31-08-1985,0.06,0.06,0.15,0.25,0.53,-0.08,-0.07,"Sep 30, 1985",189.82
30-09-1985,0.04,0.06,0.21,-0.06,0.25,0.18,0.11,"Nov 01, 1985",202.17
31-10-1985,-0.15,0.04,-0.17,-0.12,-0.41,0.12,0.15,"Dec 01, 1985",211.28
30-11-1985,0.12,0.06,0.05,0.06,0.29,0.05,0.11,"Jan 01, 1986",211.78
31-12-1985,0.19,0.04,0.15,-0.1,0.28,0.06,0.16,"Feb 01, 1986",226.92
31-01-1986,0.24,0.04,0.1,0.2,0.58,0.39,0.36,"Mar 01, 1986",238.90
28-02-1986,-0.29,-0.12,0.01,-0.14,-0.54,0.11,0.02,"Apr 01, 1986",235.52
31-03-1986,-0.22,-0.01,0.09,-0.07,-0.22,-0.06,-0.2,"Apr 30, 1986",247.35
30-04-1986,0.04,0.01,0.16,0.28,0.48,-0.09,-0.23,"May 31, 1986",250.84
31-05-1986,0.02,-0.02,0.12,-0.25,-0.13,0.04,-0.03,"Jun 30, 1986",236.12
30-06-1986,-0.18,-0.07,0.02,0.1,-0.13,0.07,0.03,"Jul 31, 1986",252.93
31-07-1986,0.1,0.07,0.1,0.03,0.31,0.01,0.06,"Aug 31, 1986",231.32
31-08-1986,-0.01,0.04,0.11,-0.05,0.09,0.09,0.08,"Sep 30, 1986",243.98
30-09-1986,0.02,0.04,0.33,0.28,0.67,0.35,0.29,"Nov 01, 1986",249.22
31-10-1986,0.09,0,-0.2,-0.16,-0.28,0.16,0.17,"Dec 01, 1986",242.17
30-11-1986,0.06,0.06,-0.03,-0.08,0.01,0.13,0.22,"Jan 01, 1987",274.08
31-12-1986,0.29,0.07,0.32,0.25,0.93,0.22,0.3,"Feb 01, 1987",284.20
31-01-1987,-0.21,0,-0.37,-0.41,-0.99,-0.01,0.14,"Mar 01, 1987",291.70
28-02-1987,0.46,0.18,0.3,0.52,1.46,0.47,0.36,"Apr 01, 1987",288.36
31-03-1987,-0.02,0.08,0.06,-0.01,0.11,0.19,0.18,"Apr 30, 1987",290.10
30-04-1987,0.15,0.1,0.07,-0.09,0.23,0.6,0.46,"May 31, 1987",304.00
31-05-1987,0.25,0.16,0.02,-0.02,0.4,0.25,0.35,"Jun 30, 1987",318.66
30-06-1987,0.11,0.02,0.08,0.07,0.28,0.31,0.51,"Jul 31, 1987",329.80
31-07-1987,0.26,0.16,0.06,0.16,0.64,0.44,0.64,"Aug 31, 1987",321.83
31-08-1987,0.23,0.11,0.12,-0.15,0.3,0.41,0.62,"Sep 30, 1987",251.79
30-09-1987,0.15,0.08,-0.05,0.25,0.44,0.46,0.6,"Nov 01, 1987",230.30
31-10-1987,0.49,0.19,-0.03,0.01,0.67,0.47,0.52,"Dec 01, 1987",247.08
30-11-1987,0.16,0.12,0.04,-0.08,0.23,0.45,0.5,"Jan 01, 1988",257.07
31-12-1987,0.23,0.08,0.08,0.12,0.52,0.47,0.54,"Feb 01, 1988",267.82
31-01-1988,-0.09,-0.02,0.03,-0.06,-0.15,0.2,0.29,"Mar 01, 1988",258.89
29-02-1988,0.13,0.14,0.02,0.19,0.49,0.29,0.38,"Apr 01, 1988",261.33
31-03-1988,0.04,0.06,0.11,0.2,0.41,0.25,0.32,"Apr 30, 1988",262.16
30-04-1988,0.22,0.14,-0.04,-0.07,0.24,0.38,0.5,"May 31, 1988",273.50
31-05-1988,-0.13,0.01,0.06,0.03,-0.04,0.21,0.34,"Jun 30, 1988",272.02
30-06-1988,0.06,0.13,0.03,0.19,0.42,0.21,0.36,"Jul 31, 1988",261.52
31-07-1988,-0.02,0.05,0,-0.06,-0.02,0.12,0.21,"Aug 31, 1988",271.91
31-08-1988,0.1,-0.09,0.04,-0.02,0.03,0.14,0.17,"Sep 30, 1988",278.97
30-09-1988,-0.08,0.07,-0.04,0.08,0.03,0.01,0.04,"Nov 01, 1988",273.70
31-10-1988,0.16,0.13,0.11,0.06,0.46,0.17,0.31,"Dec 01, 1988",277.72
30-11-1988,0.05,0.08,0.05,0.05,0.23,0.24,0.47,"Jan 01, 1989",297.47
31-12-1988,0.14,0.07,0.06,0.25,0.52,0.41,0.6,"Feb 01, 1989",288.86
31-01-1989,0.15,0.08,0.04,-0.04,0.23,0.33,0.48,"Mar 01, 1989",294.87
28-02-1989,-0.27,0.07,-0.08,-0.19,-0.46,0.1,0.22,"Apr 01, 1989",309.64
31-03-1989,-0.01,0.01,-0.01,-0.17,-0.17,-0.13,-0.03,"Apr 30, 1989",320.52
30-04-1989,-0.06,0,0.05,0.12,0.11,-0.17,-0.11,"May 31, 1989",317.98
31-05-1989,-0.34,-0.06,-0.03,-0.16,-0.59,-0.22,-0.24,"Jun 30, 1989",346.08
30-06-1989,-0.05,-0.05,0,-0.1,-0.21,-0.23,-0.3,"Jul 31, 1989",351.45
31-07-1989,-0.53,-0.04,0.02,-0.27,-0.82,-0.54,-0.53,"Aug 31, 1989",349.15
31-08-1989,0.26,-0.04,0.1,0.32,0.64,-0.13,-0.21,"Sep 30, 1989",340.36
30-09-1989,-0.19,-0.09,-0.06,-0.17,-0.5,-0.23,-0.3,"Nov 01, 1989",345.99
31-10-1989,-0.13,-0.01,-0.06,-0.2,-0.41,-0.09,-0.22,"Dec 01, 1989",353.40
30-11-1989,0.01,-0.01,0,0.12,0.12,-0.27,-0.22,"Jan 01, 1990",329.08
31-12-1989,0.04,-0.07,0.03,-0.01,-0.01,-0.1,-0.02,"Feb 01, 1990",331.89
31-01-1990,-0.21,0.14,0.12,-0.28,-0.22,-0.04,0.01,"Mar 01, 1990",339.94
28-02-1990,0.3,0.05,-0.1,0.27,0.52,0.1,0.03,"Apr 01, 1990",330.80
31-03-1990,0.1,-0.04,-0.01,0.09,0.15,0.15,0.09,"Apr 30, 1990",361.23
30-04-1990,-0.17,-0.17,-0.04,-0.29,-0.67,0,-0.08,"May 31, 1990",358.02
31-05-1990,0.01,-0.06,-0.07,0.12,0,-0.18,-0.17,"Jun 30, 1990",356.15
30-06-1990,0.05,-0.05,-0.02,-0.04,-0.06,-0.24,-0.26,"Jul 31, 1990",322.56
31-07-1990,-0.15,-0.19,-0.04,-0.19,-0.57,-0.21,-0.25,"Aug 31, 1990",306.05
31-08-1990,-0.02,-0.23,-0.08,0.11,-0.22,-0.28,-0.33,"Sep 30, 1990",304.00
30-09-1990,-0.12,-0.18,-0.08,-0.4,-0.78,-0.52,-0.53,"Nov 01, 1990",322.22
31-10-1990,-0.4,-0.24,-0.15,-0.13,-0.93,-0.64,-0.56,"Dec 01, 1990",330.22
30-11-1990,-0.54,-0.36,-0.07,-0.38,-1.35,-1.02,-0.78,"Jan 01, 1991",343.93
31-12-1990,-0.4,-0.16,-0.18,-0.19,-0.92,-1.07,-0.82,"Feb 01, 1991",367.07
31-01-1991,-0.34,-0.26,-0.27,-0.19,-1.06,-1.11,-0.8,"Mar 01, 1991",375.22
28-02-1991,-0.39,-0.4,-0.01,-0.04,-0.83,-0.94,-0.73,"Apr 01, 1991",375.34
31-03-1991,-0.36,-0.26,0.02,-0.25,-0.85,-0.91,-0.71,"Apr 30, 1991",389.83
30-04-1991,0.01,-0.18,-0.14,0.31,0.01,-0.56,-0.48,"May 31, 1991",371.16
31-05-1991,0.19,-0.23,-0.07,0.09,-0.02,-0.29,-0.27,"Jun 30, 1991",387.81
30-06-1991,0.25,-0.01,-0.08,-0.14,0.03,0.01,-0.03,"Jul 31, 1991",395.43
31-07-1991,0.02,-0.12,-0.03,0.28,0.14,0.05,0,"Aug 31, 1991",387.86
